school_name,Address,postal_code,mrt_desc,bus_desc,dgp_code,zone_code,City,State,latitude,longitude
SI LING PRIMARY SCHOOL,61   WOODLANDS AVENUE 1,739067,Woodlands,912 from Woodlands Interchange,WOODLANDS,NORTH,Singapore,Singapore,1.432699866,103.7857788
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190  DUNEARN ROAD,309437,"Newton, Botanic Gardens, Stevens","66, 105, 132, 151, 153, 154, 156, 170, 67, 171, 186, 190, 700, 960,605",NOVENA,NORTH,Singapore,Singapore,1.321252314,103.8277091
SINGAPORE CHINESE GIRLS' SCHOOL,190  DUNEARN ROAD,309437,STEVENS MRT,"48, 66, 67, 105, 132, 151, 153, 154, 156, 170, 171, 186, 190, 700, 700A, 960, 971E, 972",NOVENA,NORTH,Singapore,Singapore,1.321252314,103.8277091
SINGAPORE SPORTS SCHOOL,1    Champions Way,737913,Woodlands South MRT,"665, 900A, 901, 901M",WOODLANDS,NORTH,Singapore,Singapore,1.42641193,103.7894362
SOUTH VIEW PRIMARY SCHOOL,6    Choa Chu Kang Central,689762,Choa Chu Kang MRT Station,307 / South View LRT Station,CHOA CHU KANG,WEST,Singapore,Singapore,1.381766725,103.7472898
SPECTRA SECONDARY SCHOOL,1    WOODLANDS DRIVE 64,737758,ADMIRALTY MRT,"901M, 904, 912, 913, 962, 964, 965, 969",WOODLANDS,NORTH,Singapore,Singapore,1.436438502,103.8044327
SPRINGDALE PRIMARY SCHOOL,71   Anchorvale Link,544799,Sengkang Station (NE16)  Nearest LRT station: Farmway  *10-15 min walk from either station,"50, 85, 102, 372    Nearest Bus Stop: In front of Blk 326 Car Park  *1-2 min walk from bus stop; enter by Main Gate along Anchorvale Link or Rear Gate",SENG KANG,EAST,Singapore,Singapore,1.394754077,103.8896116
SPRINGFIELD SECONDARY SCHOOL,30   TAMPINES AVENUE 8,529593,"TAMPINES MRT, TAMPINES WEST MRT","8, 15, 23, 69, 118, 129, 291, 293, 298, 513, 518",TAMPINES,EAST,Singapore,Singapore,1.349575632,103.9302183
ST. ANDREW'S JUNIOR COLLEGE,5    Sorby Adams Drive,357691,Potong Pasir NE10,"SBSTransit: 8, 26, 31, 90, 142 ,151, 154 (Diocese of Singapore) SMRT Buses:  857, 966, 985 (Diocese of Singapore),  853 (Upper Serangoon Road)",TOA PAYOH,SOUTH,Singapore,Singapore,1.332788888,103.8634813
ST. ANDREW'S JUNIOR SCHOOL,2    FRANCIS THOMAS DRIVE,359337,"Potong Pasir,Toa Payoh","8,13,26,31,90,90A,107,133,142,147,853, NR6",TOA PAYOH,SOUTH,Singapore,Singapore,1.331389131,103.8651289
ST. ANDREW'S SECONDARY SCHOOL,15   FRANCIS THOMAS DRIVE,359342,POTONG PASIR MRT,"8, 13, 26, 31, 90, 90A, 107, 133, 142, 147, 853",TOA PAYOH,SOUTH,Singapore,Singapore,1.330990274,103.8659461
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4,469701,Bedok MRT,17,BEDOK,EAST,Singapore,Singapore,1.334806855,103.9412089
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4,469700,"BEDOK MRT, BEDOK RESERVOIR MRT",17,BEDOK,EAST,Singapore,Singapore,1.334961214,103.9416688
ST. ANTHONY'S PRIMARY SCHOOL,30   Bukit Batok St 32,659401,Bukit Gombak MRT Station,945,BUKIT BATOK,WEST,Singapore,Singapore,1.364639125,103.749294
ST. GABRIEL'S PRIMARY SCHOOL,220  Lorong Chuan,556742,Lor Chuan MRT Station (Circle Line),"73, 105, 105A, 159",SERANGOON,SOUTH,Singapore,Singapore,1.349307668,103.8623099
ST. GABRIEL'S SECONDARY SCHOOL,24   SERANGOON AVENUE 1,556140,SERANGOON MRT,158,SERANGOON,SOUTH,Singapore,Singapore,1.346644168,103.8757342
ST. HILDA'S PRIMARY SCHOOL,2    Tampines Ave 3,529706,Tampines,Feeder Bus service: 293 from Tampines Interchange (towards St 71),TAMPINES,EAST,Singapore,Singapore,1.349349944,103.9379205
ST. HILDA'S SECONDARY SCHOOL,2    TAMPINES STREET 82,528986,"TAMPINES MRT, TAMPINES WEST MRT","22, 129, 293, 298",TAMPINES,EAST,Singapore,Singapore,1.350375767,103.9366547
ST. JOSEPH'S INSTITUTION,38   MALCOLM ROAD,308274,STEVENS MRT,"105, 132, 151, 153, 154, 156, 186, 190, 700, 960, 972",NOVENA,SOUTH,Singapore,Singapore,1.323655609,103.8285665
ST. JOSEPH'S INSTITUTION JUNIOR,3    ESSEX ROAD,309331,Novena,21;54;56;57;124;131;141;166;518;851;980,NOVENA,SOUTH,Singapore,Singapore,1.317702253,103.8456701
ST. MARGARET'S PRIMARY SCHOOL,2    MATTAR ROAD,387724,Mattar MRT Station (DT25),"40, 61, 63, 65, 66, 135, 154, 155, 158",CENTRAL,SOUTH,Singapore,Singapore,1.324469751,103.8816233
ST. MARGARET'S SECONDARY SCHOOL,111  FARRER ROAD,259240,FARRER ROAD MRT,"48, 93, 153, 165, 174, 186, 855, 961",BUKIT TIMAH,SOUTH,Singapore,Singapore,1.319774641,103.8096022
ST. PATRICK'S SCHOOL,490  EAST COAST ROAD,429058,KEMBANGAN MRT,"10, 10e, 12, 13, 14, 14e, 15, 16, 31, 32, 36, 40, 43, 47, 48, 55, 135, 150, 155, 196, 197",BEDOK,EAST,Singapore,Singapore,1.30801786,103.9174618
ST. STEPHEN'S SCHOOL,20   SIGLAP VIEW,455789,Kembangan MRT Station,"2,7,24,25,26,28,30,32,33,67,854",BEDOK,EAST,Singapore,Singapore,1.318816206,103.9175261
STAMFORD PRIMARY SCHOOL,1    VICTORIA LANE,198423,Bugis MRT Station.,"Along Victoria Street:2,7,12,32,33,61,62,63,80,130,133,145,197,NR8.",CENTRAL,SOUTH,Singapore,Singapore,1.303859599,103.8569551
